Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2022,Jefferson,WA,Truck,0,0,0,9579,9579,0
February 28 2022,King,WA,Truck,22,1,23,182611,182634,0.01
February 28 2022,King,WA,Passenger,37245,10511,47756,1355944,1403700,3.4
February 28 2022,Kitsap,WA,Truck,0,0,0,54207,54207,0
February 28 2022,Kitsap,WA,Passenger,2231,984,3215,180081,183296,1.75
February 28 2022,Kittitas,WA,Passenger,219,73,292,29791,30083,0.97
February 28 2022,Kittitas,WA,Truck,0,0,0,14752,14752,0
February 28 2022,Klickitat,WA,Passenger,93,54,147,15315,15462,0.95
February 28 2022,Klickitat,WA,Truck,0,0,0,8343,8343,0
February 28 2022,Lewis,WA,Truck,0,0,0,26633,26633,0
February 28 2022,Lewis,WA,Passenger,221,166,387,59470,59857,0.65
February 28 2022,Lincoln,WA,Passenger,7,17,24,7690,7714,0.31
February 28 2022,Lincoln,WA,Truck,0,0,0,4851,4851,0
February 28 2022,Mason,WA,Passenger,278,164,442,47761,48203,0.92
February 28 2022,Mason,WA,Truck,0,0,0,21192,21192,0
February 28 2022,Okanogan,WA,Passenger,74,47,121,26494,26615,0.45
February 28 2022,Okanogan,WA,Truck,0,0,0,16728,16728,0
February 28 2022,Pacific,WA,Passenger,58,65,123,16033,16156,0.76
February 28 2022,Pacific,WA,Truck,0,0,0,8011,8011,0
February 28 2022,Pend Oreille,WA,Truck,0,0,0,5720,5720,0
February 28 2022,Pend Oreille,WA,Passenger,17,9,26,9086,9112,0.29
February 28 2022,Pierce,WA,Passenger,4484,2171,6655,553455,560110,1.19
February 28 2022,Pierce,WA,Truck,2,0,2,144241,144243,0
February 28 2022,San Juan,WA,Passenger,485,151,636,14187,14823,4.29
February 28 2022,San Juan,WA,Truck,1,0,1,6023,6024,0.02
February 28 2022,Skagit,WA,Passenger,716,317,1033,90731,91764,1.13
February 28 2022,Skagit,WA,Truck,1,0,1,32666,32667,0
