year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,percent_rep,version,mode,year2,candidatevotes2,totalvotes2,percent_rep2,percentchange
2016,COLORADO,CO,HINSDALE,8053,US PRESIDENT,DONALD TRUMP,REPUBLICAN,339,589,0.575551783,20220315,TOTAL,2020,353,632,0.558544304,0.970450133
2016,COLORADO,CO,HUERFANO,8055,US PRESIDENT,DONALD TRUMP,REPUBLICAN,1883,3783,0.497753106,20220315,TOTAL,2020,2203,4406,0.5,1.004514073
2016,COLORADO,CO,JACKSON,8057,US PRESIDENT,DONALD TRUMP,REPUBLICAN,629,861,0.730545877,20220315,TOTAL,2020,681,876,0.77739726,1.064132021
2016,COLORADO,CO,JEFFERSON,8059,US PRESIDENT,DONALD TRUMP,REPUBLICAN,138177,328882,0.420141571,20220315,TOTAL,2020,148417,377358,0.393305561,0.93612627
2016,COLORADO,CO,KIOWA,8061,US PRESIDENT,DONALD TRUMP,REPUBLICAN,728,855,0.851461988,20220315,TOTAL,2020,795,903,0.880398671,1.033984703
2016,COLORADO,CO,KIT CARSON,8063,US PRESIDENT,DONALD TRUMP,REPUBLICAN,2967,3702,0.801458671,20220315,TOTAL,2020,3144,3871,0.812193232,1.01339378
2016,COLORADO,CO,LA PLATA,8067,US PRESIDENT,DONALD TRUMP,REPUBLICAN,12587,31150,0.404077047,20220315,TOTAL,2020,14233,35667,0.399052345,0.987564992
2016,COLORADO,CO,LAKE,8065,US PRESIDENT,DONALD TRUMP,REPUBLICAN,1270,3199,0.396999062,20220315,TOTAL,2020,1497,3961,0.377934865,0.951979239
2016,COLORADO,CO,LARIMER,8069,US PRESIDENT,DONALD TRUMP,REPUBLICAN,83430,195980,0.425706705,20220315,TOTAL,2020,91489,224338,0.407817668,0.957978024
2016,COLORADO,CO,LAS ANIMAS,8071,US PRESIDENT,DONALD TRUMP,REPUBLICAN,3710,6793,0.546150449,20220315,TOTAL,2020,4284,7961,0.538123351,0.985302406
2016,COLORADO,CO,LINCOLN,8073,US PRESIDENT,DONALD TRUMP,REPUBLICAN,1892,2436,0.776683087,20220315,TOTAL,2020,2135,2651,0.805356469,1.036917737
2016,COLORADO,CO,LOGAN,8075,US PRESIDENT,DONALD TRUMP,REPUBLICAN,7282,9722,0.749022835,20220315,TOTAL,2020,8087,10532,0.767850361,1.025136118
2016,COLORADO,CO,MESA,8077,US PRESIDENT,DONALD TRUMP,REPUBLICAN,49779,77653,0.641044132,20220315,TOTAL,2020,56894,90623,0.627809717,0.979354908
2016,COLORADO,CO,MINERAL,8079,US PRESIDENT,DONALD TRUMP,REPUBLICAN,344,652,0.527607362,20220315,TOTAL,2020,427,756,0.564814815,1.070521102
2016,COLORADO,CO,MOFFAT,8081,US PRESIDENT,DONALD TRUMP,REPUBLICAN,5305,6525,0.81302682,20220315,TOTAL,2020,5670,7026,0.807002562,0.992590333
2016,COLORADO,CO,MONTEZUMA,8083,US PRESIDENT,DONALD TRUMP,REPUBLICAN,7853,12858,0.610748172,20220315,TOTAL,2020,9306,15500,0.600387097,0.983035437
2016,COLORADO,CO,MONTROSE,8085,US PRESIDENT,DONALD TRUMP,REPUBLICAN,14382,21186,0.67884452,20220315,TOTAL,2020,16770,24922,0.672899446,0.991242363
2016,COLORADO,CO,MORGAN,8087,US PRESIDENT,DONALD TRUMP,REPUBLICAN,8145,11960,0.681020067,20220315,TOTAL,2020,9593,13744,0.697977299,1.024899754
2016,COLORADO,CO,OTERO,8089,US PRESIDENT,DONALD TRUMP,REPUBLICAN,4928,8452,0.583057265,20220315,TOTAL,2020,5756,9576,0.601086048,1.03092112
2016,COLORADO,CO,OURAY,8091,US PRESIDENT,DONALD TRUMP,REPUBLICAN,1351,3310,0.4081571,20220315,TOTAL,2020,1577,4020,0.392288557,0.961121484
2016,COLORADO,CO,PARK,8093,US PRESIDENT,DONALD TRUMP,REPUBLICAN,6135,10417,0.588941154,20220315,TOTAL,2020,6991,12291,0.568790172,0.965784388
2016,COLORADO,CO,PHILLIPS,8095,US PRESIDENT,DONALD TRUMP,REPUBLICAN,1791,2332,0.768010292,20220315,TOTAL,2020,1958,2485,0.787927565,1.025933603
2016,COLORADO,CO,PITKIN,8097,US PRESIDENT,DONALD TRUMP,REPUBLICAN,2550,10523,0.242326333,20220315,TOTAL,2020,2780,11957,0.232499791,0.959449137
2016,COLORADO,CO,PROWERS,8099,US PRESIDENT,DONALD TRUMP,REPUBLICAN,3531,5016,0.703947368,20220315,TOTAL,2020,4008,5561,0.720733681,1.023845977
2016,COLORADO,CO,PUEBLO,8101,US PRESIDENT,DONALD TRUMP,REPUBLICAN,36265,78646,0.461116904,20220315,TOTAL,2020,42252,88301,0.478499677,1.037697108
2016,COLORADO,CO,RIO BLANCO,8103,US PRESIDENT,DONALD TRUMP,REPUBLICAN,2791,3450,0.808985507,20220315,TOTAL,2020,3061,3691,0.829314549,1.025129055
